code,mset,unique_id,age,gender,manual_PreferenceRatings
1,WebAdMovieSet,S0002,50,female,0
2,WebAdMovieSet,S0003,23,female,0
3,WebAdMovieSet,S0005,45,female,0
4,WebAdMovieSet,S0009,61,male,0
5,WebAdMovieSet,S0011,22,female,0
6,WebAdMovieSet,S0017,26,male,0
7,WebAdMovieSet,S0019,21,male,0
8,WebAdMovieSet,S0022,23,male,0
9,WebAdMovieSet,S0024,22,female,0
10,WebAdMovieSet,S0025,21,female,0
11,WebAdMovieSet,S0032,21,male,0
12,WebAdMovieSet,S0039,21,female,0
13,WebAdMovieSet,S0044,25,male,0
14,WebAdMovieSet,S0060,23,male,0
15,WebAdMovieSet,S0061,26,male,0
16,WebAdMovieSet,S0063,22,male,0
17,WebAdMovieSet,S0064,28,male,0
18,WebAdMovieSet,S0069,23,male,0
19,WebAdMovieSet,S0046,23,male,0
20,WebAdMovieSet,S0031,20,male,0
21,WebAdMovieSet,S0027,22,female,0
22,WebAdMovieSet,S0012,23,male,0
23,WebAdMovieSet,S0050,23,male,0
24,WebAdMovieSet,S0065,26,female,0
25,WebAdMovieSet,S0070,23,male,0
26,WebAdMovieSet,S0043,22,male,0
27,WebAdMovieSet,S0066,24,male,0
28,WebAdMovieSet,S0037,24,male,0
29,WebAdMovieSet,S0073,23,female,0
30,WebAdMovieSet,S0074,42,male,0
31,WebAdMovieSet,S0075,35,male,0
32,WebAdMovieSet,S0076,24,male,0
33,WebAdMovieSet,S0077,23,male,0
34,WebAdMovieSet,S0041,23,female,0
35,WebAdMovieSet,S0071,23,male,0
36,WebAdMovieSet,S0067,24,female,0
37,WebAdMovieSet,S0042,35,female,0
38,WebAdMovieSet,S0056,22,female,0
39,WebAdMovieSet,S0007,38,female,0
40,WebAdMovieSet,S0062,21,male,0
101,TVAdMovieSet,S0011,22,female,1
102,TVAdMovieSet,S0065,26,female,0
103,TVAdMovieSet,S0070,23,male,1
104,TVAdMovieSet,S0077,23,male,0
105,TVAdMovieSet,S0066,24,male,0
106,TVAdMovieSet,S0073,23,female,1
107,TVAdMovieSet,S0069,23,male,0
108,TVAdMovieSet,S0067,24,female,0
109,TVAdMovieSet,S0005,45,female,1
110,TVAdMovieSet,S0012,23,male,0
111,TVAdMovieSet,S0031,20,male,1
112,TVAdMovieSet,S0064,28,male,0
113,TVAdMovieSet,S0071,23,male,1
114,TVAdMovieSet,S0083,26,female,1
115,TVAdMovieSet,S0079,45,female,1
116,TVAdMovieSet,S0084,22,male,0
117,TVAdMovieSet,S0091,21,female,0
118,TVAdMovieSet,S0093,24,male,0
119,TVAdMovieSet,S0082,23,male,1
120,TVAdMovieSet,S0022,23,male,0
121,TVAdMovieSet,S0075,35,male,0
122,TVAdMovieSet,S0080,48,female,1
123,TVAdMovieSet,S0092,20,female,1
124,TVAdMovieSet,S0089,23,male,0
125,TVAdMovieSet,S0088,26,female,1
126,TVAdMovieSet,S0039,21,female,1
127,TVAdMovieSet,S0090,24,male,0
128,TVAdMovieSet,S0087,23,male,1
